NAME,median_household_income,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value,median_gross_rent,owner-occupied_housing_units,renter-occupied_housing_units,state,county,tract
Census Tract 2601.01; Baltimore city; Maryland,68052,36676.0,383,5100,2772,122,2650,558,389,8,0,3494,197900,1286,1083,843,24,510,260101
Census Tract 2601.02; Baltimore city; Maryland,64446,31110.0,381,4834,2540,200,2340,576,162,20,0,3400,160700,1102,1456,455,24,510,260102
Census Tract 2602.01; Baltimore city; Maryland,49574,34201.0,646,5292,2974,64,2910,834,314,0,0,3879,174400,979,704,1709,24,510,260201
Census Tract 2602.02; Baltimore city; Maryland,37273,30460.0,1425,6158,2790,51,2739,535,30,0,14,3916,118300,1151,871,1934,24,510,260202
Census Tract 2602.03; Baltimore city; Maryland,62107,23980.0,649,2896,1438,84,1354,195,138,0,0,1914,152800,1508,428,591,24,510,260203
Census Tract 2603.01; Baltimore city; Maryland,44297,21513.0,1322,4195,1756,54,1702,171,79,9,0,2426,117100,1430,792,611,24,510,260301
Census Tract 2603.02; Baltimore city; Maryland,51484,23649.0,1616,6246,2638,92,2546,258,482,71,52,4449,121700,1444,1860,666,24,510,260302
Census Tract 2603.03; Baltimore city; Maryland,51932,36428.0,349,1281,792,13,779,126,11,0,0,1127,211600,1043,229,488,24,510,260303
Census Tract 2604.01; Baltimore city; Maryland,40298,20048.0,703,2391,791,14,777,71,65,0,0,1753,40200,622,580,469,24,510,260401
Census Tract 2604.02; Baltimore city; Maryland,43882,21322.0,587,3314,1523,46,1477,125,51,0,0,2118,218300,1066,264,1007,24,510,260402
Census Tract 2604.03; Baltimore city; Maryland,50962,38129.0,50,1292,901,43,858,119,28,31,0,1164,107300,964,182,590,24,510,260403
Census Tract 2604.04; Baltimore city; Maryland,33750,13541.0,483,1556,496,69,427,11,18,0,0,909,101900,1522,132,308,24,510,260404
Census Tract 2605.01; Baltimore city; Maryland,74403,29060.0,398,4420,1735,30,1705,537,277,0,0,3144,168200,1515,1011,618,24,510,260501
Census Tract 2606.04; Baltimore city; Maryland,24896,14381.0,634,1296,344,0,344,18,18,0,0,621,111200,716,131,421,24,510,260604
Census Tract 2606.05; Baltimore city; Maryland,54569,23987.0,976,5771,2532,130,2402,233,68,28,2,3487,157500,1139,1226,728,24,510,260605
Census Tract 2607; Baltimore city; Maryland,68836,46766.0,457,2221,1294,107,1187,434,354,140,101,1663,341200,1844,656,325,24,510,260700
Census Tract 2608; Baltimore city; Maryland,46657,40380.0,227,1962,1076,31,1045,192,200,25,34,1466,244600,1213,341,571,24,510,260800
Census Tract 2609; Baltimore city; Maryland,119386,78360.0,281,3620,2998,118,2880,1195,454,303,164,3153,318700,2312,813,1109,24,510,260900
Census Tract 2610; Baltimore city; Maryland,88266,50131.0,447,1806,1021,58,963,290,349,64,27,1372,274100,1588,519,330,24,510,261000
